Genome,GeneID,CopyNumber
AHQ-14,yflS_2,1
AHQ-14,sufT_1,1
AHQ-14,ttdB,1
AHQ-14,ttdA,1
AHQ-14,rhaR_2,1
AHQ-14,citG,1
AHQ-14,mntB_1,1
AHQ-14,mntB_2,1
AHQ-14,psaA_1,1
AHQ-14,ldh_2,1
AHQ-14,yflS_3,1
AHQ-14,sorC_1,1
AHQ-14,citC,1
AHQ-14,citD,1
AHQ-14,citE,1
AHQ-14,citF,1
AHQ-14,fumC,1
AHQ-14,ifcA,1
AHQ-14,citX,1
AHQ-14,oxyR_2,1
AHQ-14,hcaR_1,1
AHQ-14,mleS,1
AHQ-14,yhdG_2,1
AHQ-14,panT,1
AHQ-14,cydA,1
AHQ-14,cydB,1
AHQ-14,cydD,1
AHQ-14,hepT_2,1
AHQ-14,menA_1,1
AHQ-14,iolU_1,1
AHQ-14,xpt,1
AHQ-14,purK_1,1
AHQ-14,pcrA,1
AHQ-14,ligA,1
AHQ-14,gatC_1,1
AHQ-14,gatA,1
AHQ-14,gatB_1,1
AHQ-14,dagK,1
AHQ-14,ctpE,1
AHQ-14,hexR,1
AHQ-14,csp,1
AHQ-14,iolU_2,1
AHQ-14,deaD,1
AHQ-14,chbC_2,1
AHQ-14,gdh,1
AHQ-14,mnaA,1
AHQ-14,larD_2,1
AHQ-14,glf_1,1
AHQ-14,rfaB,1
AHQ-14,tarF,1
AHQ-14,rfbX_1,1
AHQ-14,tagD_1,1
AHQ-14,rmlB,1
AHQ-14,xerC_3,1
AHQ-14,ywqD_1,1
AHQ-14,ywqE_1,1
AHQ-14,wecA_1,1
AHQ-14,wbnH_1,1
AHQ-14,glgA_2,1
AHQ-14,yxaB,1
AHQ-14,glf_2,1
AHQ-14,rhaR_3,1
AHQ-14,rfbX_2,1
AHQ-14,wcaJ,1
AHQ-14,recX,1
AHQ-14,dap,1
AHQ-14,tagD_2,1
AHQ-14,gntT,1
AHQ-14,xylB_1,1
AHQ-14,garB_2,1
AHQ-14,prfC,1
AHQ-14,hdfR_1,1
AHQ-14,dppE_5,1
AHQ-14,oppB,1
AHQ-14,dppC,1
AHQ-14,oppD,1
AHQ-14,oppF,1
AHQ-14,xerH,1
AHQ-14,clpE,1
AHQ-14,ptsH,1
AHQ-14,ptsI,1
AHQ-14,cpoA,1
AHQ-14,dapX_2,1
AHQ-14,ltaS1_1,1
AHQ-14,pyrE_1,1
AHQ-14,apaH,1
AHQ-14,mntH_2,1
AHQ-14,hemH,1
AHQ-14,rocC,1
AHQ-14,mmuM,1
AHQ-14,gtfA_1,1
AHQ-14,metK,1
AHQ-14,bmr3_1,1
AHQ-14,gtfA_2,1
AHQ-14,gtfA_3,1
AHQ-14,leuS,1
AHQ-14,murJ_2,1
AHQ-14,rsuA,1
AHQ-14,nnrD,1
AHQ-14,msmX_2,1
AHQ-14,ugpA,1
AHQ-14,araQ_1,1
AHQ-14,ugpB,1
AHQ-14,mscL,1
AHQ-14,smc_4,1
AHQ-14,msrA_1,1
AHQ-14,yicL_1,1
AHQ-14,yidA_2,1
AHQ-14,agrA_3,1
AHQ-14,uvrA_2,1
AHQ-14,uvrA_3,1
AHQ-14,yitJ,1
AHQ-14,metE_1,1
AHQ-14,sat,1
AHQ-14,cysC,1
AHQ-14,nrnA_1,1
AHQ-14,assT,1
AHQ-14,mepA_2,1
AHQ-14,elaA_2,1
AHQ-14,argS,1
AHQ-14,macB_1,1
AHQ-14,dgaR,1
AHQ-14,chbA,1
AHQ-14,celA,1
AHQ-14,gmuC_1,1
AHQ-14,bglH_2,1
AHQ-14,yciB_1,1
AHQ-14,dltC_1,1
AHQ-14,norG,1
AHQ-14,argO,1
AHQ-14,vioD,1
AHQ-14,argR_1,1
AHQ-14,pbpF,1
AHQ-14,smc_5,1
AHQ-14,yhaM,1
AHQ-14,hdfR_2,1
AHQ-14,urdA_1,1
AHQ-14,urdA_2,1
AHQ-14,sasA_2,1
AHQ-14,mprA_2,1
AHQ-14,csbB,1
AHQ-14,dedA_2,1
AHQ-14,ykoT,1
AHQ-14,ribD,1
AHQ-14,ribE,1
AHQ-14,ribBA,1
AHQ-14,ribH,1
AHQ-14,fnr_1,1
AHQ-14,npr_1,1
AHQ-14,prsA_1,1
AHQ-14,hit_1,1
AHQ-14,ecsA_1,1
AHQ-14,trmB,1
AHQ-14,murC,1
AHQ-14,feoB,1
AHQ-14,sufS,1
AHQ-14,iscU,1
AHQ-14,ybhL,1
AHQ-14,polA,1
AHQ-14,mutM,1
AHQ-14,coaE,1
AHQ-14,nrdR,1
AHQ-14,dnaB,1
AHQ-14,dnaI,1
AHQ-14,thrS,1
AHQ-14,infC,1
AHQ-14,rpmI,1
AHQ-14,rplT,1
AHQ-14,yybR_2,1
AHQ-14,pgaC,1
AHQ-14,gph_1,1
AHQ-14,yqeH,1
AHQ-14,nadD,1
AHQ-14,rsfS,1
AHQ-14,tylM1,1
AHQ-14,tmcAL,1
AHQ-14,mneS_1,1
AHQ-14,gnd,1
AHQ-14,rarA,1
AHQ-14,arlR,1
AHQ-14,sasA_3,1
AHQ-14,menA_2,1
AHQ-14,smc_6,1
AHQ-14,sbcD,1
AHQ-14,yidC,1
AHQ-14,acyP,1
AHQ-14,rlmB,1
AHQ-14,yodB,1
AHQ-14,pheS,1
AHQ-14,pheT,1
AHQ-14,mltG,1
AHQ-14,udk,1
AHQ-14,greA_2,1
AHQ-14,penA,1
AHQ-14,rpmGA,1
AHQ-14,yqgN,1
AHQ-14,gluP,1
AHQ-14,glcK,1
AHQ-14,pepE_1,1
AHQ-14,yibN,1
AHQ-14,glpQ,1
AHQ-14,miaA,1
AHQ-14,glnR,1
AHQ-14,glnA,1
AHQ-14,rplU,1
AHQ-14,rpmA,1
AHQ-14,ypdF,1
AHQ-14,efp,1
AHQ-14,nusB,1
AHQ-14,folD,1
AHQ-14,xseA,1
AHQ-14,xseB,1
AHQ-14,tlyA,1
AHQ-14,argR_2,1
AHQ-14,recN,1
AHQ-14,opuCA,1
AHQ-14,opuCB,1
AHQ-14,opuCC,1
AHQ-14,opuCD,1
AHQ-14,gmk_2,1
AHQ-14,rpoZ,1
AHQ-14,coaBC,1
AHQ-14,priA,1
AHQ-14,fmt,1
AHQ-14,rsmB,1
AHQ-14,stp_1,1
AHQ-14,prkC,1
AHQ-14,rsgA_1,1
AHQ-14,rpe,1
AHQ-14,thiN,1
AHQ-14,rpmB,1
AHQ-14,recG,1
AHQ-14,plsX,1
AHQ-14,acpP_1,1
AHQ-14,rnc,1
AHQ-14,smc_7,1
AHQ-14,ftsY,1
AHQ-14,ffh,1
AHQ-14,rpsP,1
AHQ-14,rimM,1
AHQ-14,trmD,1
AHQ-14,rplS,1
AHQ-14,ecsA_2,1
AHQ-14,trpE,1
AHQ-14,pabA,1
AHQ-14,trpD,1
AHQ-14,trpC,1
AHQ-14,trpF,1
AHQ-14,trpB,1
AHQ-14,trpA,1
AHQ-14,rutB_1,1
AHQ-14,scmP,1
AHQ-14,adh_1,1
AHQ-14,fabZ_1,1
AHQ-14,fabH_2,1
AHQ-14,acpP_2,1
AHQ-14,fabD,1
AHQ-14,fabG_2,1
AHQ-14,fabF,1
AHQ-14,accB_2,1
AHQ-14,fabZ_2,1
AHQ-14,accC_2,1
AHQ-14,accD_2,1
AHQ-14,accA_2,1
AHQ-14,fabI,1
AHQ-14,ydfK_1,1
AHQ-14,gltC_1,1
AHQ-14,rsgA_2,1
AHQ-14,mdtD,1
AHQ-14,xerC_4,1
AHQ-14,cfa_1,1
AHQ-14,ycnE,1
AHQ-14,yhaI,1
AHQ-14,yegS,1
AHQ-14,pepDA_3,1
AHQ-14,lysA,1
AHQ-14,menA_3,1
AHQ-14,yhdG_3,1
AHQ-14,yitU,1
AHQ-14,rsmF,1
AHQ-14,malP_2,1
AHQ-14,fni,1
AHQ-14,galK_1,1
AHQ-14,dinG_2,1
AHQ-14,asnS_2,1
AHQ-14,dnaD,1
AHQ-14,metN,1
AHQ-14,metP_1,1
AHQ-14,btuD_4,1
AHQ-14,ponA,1
AHQ-14,recU,1
AHQ-14,gpsB_1,1
AHQ-14,rlmL,1
AHQ-14,mccF_1,1
AHQ-14,mccF_2,1
AHQ-14,osmV,1
AHQ-14,mnmC,1
AHQ-14,rnhA_1,1
AHQ-14,fhs1,1
AHQ-14,lspA,1
AHQ-14,rluD_1,1
AHQ-14,pyrR_1,1
AHQ-14,carA_2,1
AHQ-14,carB_2,1
AHQ-14,gpmB,1
AHQ-14,fra,1
AHQ-14,bcrA_1,1
AHQ-14,rqcH_2,1
AHQ-14,degV_1,1
AHQ-14,cycA_1,1
AHQ-14,lutP,1
AHQ-14,tarI,1
AHQ-14,tarJ,1
AHQ-14,tarK,1
AHQ-14,tarL,1
AHQ-14,paiA,1
AHQ-14,mgrA,1
AHQ-14,garB_3,1
AHQ-14,msrA_2,1
AHQ-14,msrB,1
AHQ-14,ppaC,1
AHQ-14,hdfR_3,1
AHQ-14,parC,1
AHQ-14,parE,1
AHQ-14,plsY,1
AHQ-14,lacX,1
AHQ-14,clpY,1
AHQ-14,hslV,1
AHQ-14,xerC_5,1
AHQ-14,trmFO,1
AHQ-14,topA,1
AHQ-14,rnhB,1
AHQ-14,rbgA,1
AHQ-14,luxA,1
AHQ-14,bmr3_2,1
AHQ-14,ctpA,1
AHQ-14,dfrA,1
AHQ-14,thyA,1
AHQ-14,ettA,1
AHQ-14,cca,1
AHQ-14,dapB,1
AHQ-14,ybjI_2,1
AHQ-14,bepA,1
AHQ-14,hup,1
AHQ-14,der,1
AHQ-14,rps1,1
AHQ-14,cmk,1
AHQ-14,recQ_2,1
AHQ-14,ribU,1
AHQ-14,rluB,1
AHQ-14,scpB,1
AHQ-14,scpA,1
AHQ-14,xerD,1
AHQ-14,cvfB,1
AHQ-14,pyk,1
AHQ-14,pfkA,1
AHQ-14,dnaE,1
AHQ-14,clpB,1
AHQ-14,pepT,1
AHQ-14,trmK,1
AHQ-14,drrB,1
AHQ-14,drrA_1,1
AHQ-14,ppsA,1
AHQ-14,eno,1
AHQ-14,hsrA_2,1
AHQ-14,dapE_1,1
AHQ-14,cdr,1
AHQ-14,glcR_1,1
AHQ-14,spxA_2,1
AHQ-14,ppaX,1
AHQ-14,glvR,1
AHQ-14,hcaR_2,1
AHQ-14,nox_3,1
AHQ-14,desR,1
AHQ-14,btuD_5,1
AHQ-14,yjaB,1
AHQ-14,bcrA_2,1
AHQ-14,ytrB_2,1
AHQ-14,ytrA_2,1
AHQ-14,sigA,1
AHQ-14,dnaG,1
AHQ-14,glyS,1
AHQ-14,glyQ,1
AHQ-14,recO,1
AHQ-14,era,1
AHQ-14,dgkA,1
AHQ-14,ybeY,1
AHQ-14,yqeY,1
AHQ-14,rpsU,1
AHQ-14,yqfL,1
AHQ-14,baiA,1
AHQ-14,nfo,1
AHQ-14,msrA_3,1
AHQ-14,aspS,1
AHQ-14,hisS,1
AHQ-14,gph_2,1
AHQ-14,dtd,1
AHQ-14,relA,1
AHQ-14,rsmE,1
AHQ-14,prmA,1
AHQ-14,lepA_1,1
AHQ-14,dltD,1
AHQ-14,dltC_2,1
AHQ-14,dltA,1
AHQ-14,pbpX,1
AHQ-14,dnaJ,1
AHQ-14,dnaK,1
AHQ-14,grpE,1
AHQ-14,hrcA,1
AHQ-14,aldC,1
AHQ-14,ribF_2,1
AHQ-14,truB,1
AHQ-14,aroK,1
AHQ-14,aroA1,1
AHQ-14,aroC,1
AHQ-14,rbfA,1
AHQ-14,infB,1
AHQ-14,rplGA,1
AHQ-14,nusA,1
AHQ-14,rimP,1
AHQ-14,polC_2,1
AHQ-14,proS,1
AHQ-14,rasP,1
AHQ-14,uppS,1
AHQ-14,frr,1
AHQ-14,pyrH,1
AHQ-14,tsf,1
AHQ-14,rpsB,1
AHQ-14,yjjG,1
AHQ-14,yfiC,1
AHQ-14,plsC,1
AHQ-14,lexA,1
AHQ-14,mvaS,1
AHQ-14,tagU_3,1
AHQ-14,ssuB_2,1
AHQ-14,rodA_1,1
AHQ-14,smc_8,1
AHQ-14,clpP_2,1
AHQ-14,xerC_6,1
AHQ-14,apt,1
AHQ-14,rnz,1
AHQ-14,obg,1
AHQ-14,glcR_2,1
AHQ-14,lacC,1
AHQ-14,fruA_1,1
AHQ-14,cpdA_1,1
AHQ-14,wbnH_2,1
AHQ-14,wecA_2,1
AHQ-14,wbgU,1
AHQ-14,ywqE_2,1
AHQ-14,ywqD_2,1
AHQ-14,uvrC,1
AHQ-14,artM_2,1
AHQ-14,mltF_2,1
AHQ-14,engB,1
AHQ-14,clpX,1
AHQ-14,tig,1
AHQ-14,tuf,1
AHQ-14,rnj2,1
AHQ-14,dapA_1,1
AHQ-14,sbnD_2,1
AHQ-14,rpsO,1
AHQ-14,rpsT,1
AHQ-14,yqeN,1
AHQ-14,comEC,1
AHQ-14,tadA_2,1
AHQ-14,comEA,1
AHQ-14,ylbL,1
AHQ-14,coaD,1
AHQ-14,rsmD,1
AHQ-14,pycA,1
AHQ-14,ftsW,1
AHQ-14,typA,1
AHQ-14,suhB,1
AHQ-14,ldh_3,1
AHQ-14,pdhD_1,1
AHQ-14,pdhC,1
AHQ-14,pdhB,1
AHQ-14,pdhA,1
AHQ-14,def,1
AHQ-14,rnjA,1
AHQ-14,ytlR,1
AHQ-14,prs_3,1
AHQ-14,recD2,1
AHQ-14,pspA_2,1
AHQ-14,ktrA,1
AHQ-14,ntpJ,1
AHQ-14,mnmA,1
AHQ-14,iscS_1,1
AHQ-14,mtnN,1
AHQ-14,act_1,1
AHQ-14,dapF,1
AHQ-14,drrA_2,1
AHQ-14,ileS,1
AHQ-14,gpsB_2,1
AHQ-14,sepF,1
AHQ-14,ftsZ,1
AHQ-14,ftsA,1
